"","Date","Sessions","Pageviews","Users","New_Users","Number_Session","Pages_Session","Avg_S_Duration","Bounce"
"857",2014-07-16,29,83,19,10,1.52631578947368,2.86206896551724,323.862068965517,0.448275862068966
"858",2014-07-17,30,74,20,13,1.5,2.46666666666667,291.466666666667,0.633333333333333
"859",2014-07-18,32,101,21,13,1.52380952380952,3.15625,285.78125,0.46875
"860",2014-07-19,19,46,14,9,1.35714285714286,2.42105263157895,59.1052631578947,0.684210526315789
"861",2014-07-20,11,33,8,7,1.375,3,86.4545454545455,0.454545454545455
"862",2014-07-21,34,100,23,15,1.47826086956522,2.94117647058824,194.852941176471,0.558823529411765
"863",2014-07-22,55,179,37,24,1.48648648648649,3.25454545454545,281.745454545455,0.509090909090909
"864",2014-07-23,40,95,28,17,1.42857142857143,2.375,303.3,0.575
"865",2014-07-24,31,86,24,17,1.29166666666667,2.7741935483871,177.387096774194,0.387096774193548
"866",2014-07-25,30,68,23,14,1.30434782608696,2.26666666666667,97.5666666666667,0.566666666666667
"867",2014-07-26,10,26,8,6,1.25,2.6,123.5,0.4
"868",2014-07-27,6,11,6,4,1,1.83333333333333,16.6666666666667,0.666666666666667
"869",2014-07-28,21,59,14,7,1.5,2.80952380952381,181.809523809524,0.380952380952381
"870",2014-07-29,51,251,35,21,1.45714285714286,4.92156862745098,420.137254901961,0.411764705882353
"871",2014-07-30,39,134,28,19,1.39285714285714,3.43589743589744,562.025641025641,0.512820512820513
"872",2014-07-31,14,102,8,2,1.75,7.28571428571429,998.928571428571,0.428571428571429
"873",2014-08-01,0,0,0,0,0,0,0,0
"874",2014-08-02,0,0,0,0,0,0,0,0
"875",2014-08-03,0,0,0,0,0,0,0,0
"876",2014-08-04,0,0,0,0,0,0,0,0
"877",2014-08-05,26,115,20,13,1.3,4.42307692307692,455,0.192307692307692
"878",2014-08-06,24,63,19,11,1.26315789473684,2.625,114.625,0.5
"879",2014-08-07,46,126,31,23,1.48387096774194,2.73913043478261,157.95652173913,0.5
"880",2014-08-08,27,106,24,20,1.125,3.92592592592593,297.962962962963,0.222222222222222
"881",2014-08-09,12,29,10,10,1.2,2.41666666666667,54.75,0.416666666666667
"882",2014-08-10,13,79,9,5,1.44444444444444,6.07692307692308,626.307692307692,0.307692307692308
"883",2014-08-11,36,212,30,20,1.2,5.88888888888889,181.472222222222,0.361111111111111
"884",2014-08-12,37,111,29,18,1.27586206896552,3,171.432432432432,0.513513513513513
"885",2014-08-13,27,100,22,14,1.22727272727273,3.7037037037037,142.444444444444,0.481481481481481
"886",2014-08-14,31,78,27,19,1.14814814814815,2.51612903225806,119.58064516129,0.516129032258065
"887",2014-08-15,27,78,21,12,1.28571428571429,2.88888888888889,87.6666666666667,0.703703703703704
"888",2014-08-16,14,72,9,7,1.55555555555556,5.14285714285714,192.928571428571,0.5
"889",2014-08-17,19,55,16,13,1.1875,2.89473684210526,90.7894736842105,0.631578947368421
"890",2014-08-18,42,131,33,23,1.27272727272727,3.11904761904762,203.47619047619,0.476190476190476
"891",2014-08-19,30,86,24,19,1.25,2.86666666666667,260.6,0.4
"892",2014-08-20,36,170,31,21,1.16129032258065,4.72222222222222,192.111111111111,0.416666666666667
"893",2014-08-21,35,98,26,22,1.34615384615385,2.8,203.228571428571,0.428571428571429
"894",2014-08-22,26,78,22,17,1.18181818181818,3,129.769230769231,0.423076923076923
"895",2014-08-23,6,14,5,4,1.2,2.33333333333333,35.6666666666667,0.666666666666667
"896",2014-08-24,13,55,13,12,1,4.23076923076923,107.615384615385,0.230769230769231
"897",2014-08-25,31,92,26,18,1.19230769230769,2.96774193548387,216.967741935484,0.354838709677419
"898",2014-08-26,36,120,30,21,1.2,3.33333333333333,234.111111111111,0.472222222222222
"899",2014-08-27,40,98,28,19,1.42857142857143,2.45,285.325,0.475
"900",2014-08-28,42,113,26,17,1.61538461538462,2.69047619047619,256.5,0.595238095238095
"901",2014-08-29,30,99,20,12,1.5,3.3,213.933333333333,0.666666666666667
"902",2014-08-30,10,45,10,8,1,4.5,264.1,0.4
"903",2014-08-31,8,10,8,6,1,1.25,23.25,0.875
"904",2014-09-01,17,53,14,12,1.21428571428571,3.11764705882353,195.823529411765,0.411764705882353
"905",2014-09-02,50,202,37,26,1.35135135135135,4.04,319.4,0.4
