"","ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","weekly","weekly_lower","weekly_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
"1220",2015-07-14,3.27019111428209,0.258127464314758,0.258127464314758,0.258127464314758,0.311844821127602,0.311844821127602,0.311844821127602,-0.0537173568128448,-0.0537173568128448,-0.0537173568128448,0,0,0,3.11452659273045,3.95059961916553,3.27019111428209,3.27019111428209,3.52831857859685
"1221",2015-07-15,3.27020313731874,0.234913996769242,0.234913996769242,0.234913996769242,0.283559671100092,0.283559671100092,0.283559671100092,-0.0486456743308501,-0.0486456743308501,-0.0486456743308501,0,0,0,3.10834860232081,3.90574131229388,3.27020313731874,3.27020313731874,3.50511713408798
"1222",2015-07-16,3.27021516035538,0.194630176300749,0.194630176300749,0.194630176300749,0.239038137586746,0.239038137586746,0.239038137586746,-0.0444079612859973,-0.0444079612859973,-0.0444079612859973,0,0,0,3.04170655143812,3.85143406334817,3.27021516035538,3.27021516035538,3.46484533665613
"1223",2015-07-17,3.27022718339203,0.0962689553503704,0.0962689553503704,0.0962689553503704,0.137254940155848,0.137254940155848,0.137254940155848,-0.0409859848054781,-0.0409859848054781,-0.0409859848054781,0,0,0,2.96384708723324,3.76033737222176,3.27022718339203,3.27022718339203,3.3664961387424
"1224",2015-07-18,3.27023920644942,-0.73593987948106,-0.73593987948106,-0.73593987948106,-0.697601642239577,-0.697601642239577,-0.697601642239577,-0.0383382372414829,-0.0383382372414829,-0.0383382372414829,0,0,0,2.14858309465696,2.94623740495628,3.27023920644942,3.27023920644942,2.53429932696836
"1225",2015-07-19,3.27025122950682,-0.608704107655382,-0.608704107655382,-0.608704107655382,-0.572301603871231,-0.572301603871231,-0.572301603871231,-0.0364025037841516,-0.0364025037841516,-0.0364025037841516,0,0,0,2.27235898197265,3.05820435522248,3.27025122950682,3.27025122950682,2.66154712185143
"1226",2015-07-20,3.27026325256421,0.263106662035361,0.263106662035361,0.263106662035361,0.298205676143331,0.298205676143331,0.298205676143331,-0.03509901410797,-0.03509901410797,-0.03509901410797,0,0,0,3.1339164918885,3.95361648570932,3.27026325256421,3.27026325256421,3.53336991459957
"1227",2015-07-21,3.2702752756216,0.277510753262903,0.277510753262903,0.277510753262903,0.311844821127351,0.311844821127351,0.311844821127351,-0.0343340678644484,-0.0343340678644484,-0.0343340678644484,0,0,0,3.16626547457127,3.95525668123591,3.2702752756216,3.2702752756216,3.5477860288845
"1228",2015-07-22,3.27028729867899,0.249555661308889,0.249555661308889,0.249555661308889,0.283559671100091,0.283559671100091,0.283559671100091,-0.0340040097912025,-0.0340040097912025,-0.0340040097912025,0,0,0,3.12430052381257,3.9158028606823,3.27028729867899,3.27028729867899,3.51984295998788
"1229",2015-07-23,3.27029932173638,0.205038717490784,0.205038717490784,0.205038717490784,0.239038137586894,0.239038137586894,0.239038137586894,-0.0339994200961097,-0.0339994200961097,-0.0339994200961097,0,0,0,3.06370994584485,3.89598823791314,3.27029932173638,3.27029932173638,3.47533803922716
